2.0018 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
28.4687 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
30.5740 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000001BC04A90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000000001DEEB3A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.5742 	EXP 	window1: mouseVisible = True
30.5742 	EXP 	window1: mouseVisible = False
30.5743 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
30.5743 	EXP 	window1: recordFrameIntervals = False
30.7400 	EXP 	window1: recordFrameIntervals = True
30.9235 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
30.9236 	EXP 	window1: recordFrameIntervals = False
35.7096 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
35.7391 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
35.7633 	EXP 	Imported C:/Users/student/Downloads/conditions (stair) AU2020166.xlsx as conditions, 1 conditions, 5 params
37.5222 	EXP 	window1: recordFrameIntervals = False
37.5645 	EXP 	fixation: autoDraw = True
37.5647 	EXP 	window1: recordFrameIntervals = False
38.6233 	EXP 	grating: autoDraw = True
38.6233 	EXP 	grating: tex = 'sin'
38.6401 	EXP 	fixation: autoDraw = False
38.9244 	EXP 	grating: autoDraw = False
43.7436 	EXP 	window1: recordFrameIntervals = False
43.7448 	DATA 	Keypress: right
43.7579 	EXP 	fixation: autoDraw = False
43.7579 	EXP 	grating: autoDraw = False
43.7581 	EXP 	window1: recordFrameIntervals = False
44.7564 	EXP 	fixation: autoDraw = True
45.7733 	EXP 	fixation: autoDraw = False
45.7733 	EXP 	grating: autoDraw = True
45.7733 	EXP 	grating: tex = 'sin'
46.0733 	EXP 	grating: autoDraw = False
55.0260 	EXP 	window1: recordFrameIntervals = False
55.0272 	DATA 	Keypress: right
55.0403 	EXP 	fixation: autoDraw = False
55.0403 	EXP 	grating: autoDraw = False
55.0405 	EXP 	window1: recordFrameIntervals = False
56.0399 	EXP 	fixation: autoDraw = True
57.0394 	DATA 	Keypress: right
57.0569 	EXP 	fixation: autoDraw = False
57.0569 	EXP 	grating: autoDraw = True
57.0569 	EXP 	grating: tex = 'sin'
57.3568 	EXP 	grating: autoDraw = False
60.8093 	EXP 	window1: recordFrameIntervals = False
60.8104 	DATA 	Keypress: right
60.8236 	EXP 	fixation: autoDraw = False
60.8236 	EXP 	grating: autoDraw = False
60.8238 	EXP 	window1: recordFrameIntervals = False
61.8233 	EXP 	fixation: autoDraw = True
62.8241 	EXP 	grating: autoDraw = True
62.8241 	EXP 	grating: tex = 'sin'
62.8410 	EXP 	fixation: autoDraw = False
63.1251 	EXP 	grating: autoDraw = False
63.8093 	EXP 	window1: recordFrameIntervals = False
63.8105 	DATA 	Keypress: right
63.8237 	EXP 	fixation: autoDraw = False
63.8237 	EXP 	grating: autoDraw = False
63.8239 	EXP 	window1: recordFrameIntervals = False
64.8233 	EXP 	fixation: autoDraw = True
65.8403 	EXP 	fixation: autoDraw = False
65.8403 	EXP 	grating: autoDraw = True
65.8403 	EXP 	grating: tex = 'sin'
66.1402 	EXP 	grating: autoDraw = False
66.2923 	EXP 	window1: recordFrameIntervals = False
66.2934 	DATA 	Keypress: right
66.3069 	EXP 	fixation: autoDraw = False
66.3069 	EXP 	grating: autoDraw = False
66.3071 	EXP 	window1: recordFrameIntervals = False
67.3068 	EXP 	fixation: autoDraw = True
68.3236 	EXP 	fixation: autoDraw = False
68.3236 	EXP 	grating: autoDraw = True
68.3236 	EXP 	grating: tex = 'sin'
68.6237 	EXP 	grating: autoDraw = False
68.7760 	EXP 	window1: recordFrameIntervals = False
68.7772 	DATA 	Keypress: right
68.7905 	EXP 	fixation: autoDraw = False
68.7905 	EXP 	grating: autoDraw = False
68.7906 	EXP 	window1: recordFrameIntervals = False
69.7901 	EXP 	fixation: autoDraw = True
70.8070 	EXP 	fixation: autoDraw = False
70.8070 	EXP 	grating: autoDraw = True
70.8070 	EXP 	grating: tex = 'sin'
71.1070 	EXP 	grating: autoDraw = False
71.3093 	EXP 	window1: recordFrameIntervals = False
71.3103 	DATA 	Keypress: left
71.3237 	EXP 	fixation: autoDraw = False
71.3237 	EXP 	grating: autoDraw = False
71.3238 	EXP 	window1: recordFrameIntervals = False
72.3240 	EXP 	fixation: autoDraw = True
73.3404 	EXP 	fixation: autoDraw = False
73.3404 	EXP 	grating: autoDraw = True
73.3404 	EXP 	grating: tex = 'sin'
73.6404 	EXP 	grating: autoDraw = False
73.9428 	EXP 	window1: recordFrameIntervals = False
73.9439 	DATA 	Keypress: left
73.9571 	EXP 	fixation: autoDraw = False
73.9571 	EXP 	grating: autoDraw = False
73.9573 	EXP 	window1: recordFrameIntervals = False
74.9568 	EXP 	fixation: autoDraw = True
75.9737 	EXP 	fixation: autoDraw = False
75.9737 	EXP 	grating: autoDraw = True
75.9737 	EXP 	grating: tex = 'sin'
76.2737 	EXP 	grating: autoDraw = False
76.6758 	EXP 	window1: recordFrameIntervals = False
76.6769 	DATA 	Keypress: left
76.6904 	EXP 	fixation: autoDraw = False
76.6904 	EXP 	grating: autoDraw = False
76.6905 	EXP 	window1: recordFrameIntervals = False
77.6902 	EXP 	fixation: autoDraw = True
78.7071 	EXP 	fixation: autoDraw = False
78.7071 	EXP 	grating: autoDraw = True
78.7071 	EXP 	grating: tex = 'sin'
79.0071 	EXP 	grating: autoDraw = False
79.6093 	EXP 	window1: recordFrameIntervals = False
79.6104 	DATA 	Keypress: left
79.6239 	EXP 	fixation: autoDraw = False
79.6239 	EXP 	grating: autoDraw = False
79.6240 	EXP 	window1: recordFrameIntervals = False
80.6236 	EXP 	fixation: autoDraw = True
81.6236 	EXP 	fixation: autoDraw = False
81.6236 	EXP 	grating: autoDraw = True
81.6236 	EXP 	grating: tex = 'sin'
81.9240 	EXP 	grating: autoDraw = False
83.1088 	EXP 	window1: recordFrameIntervals = False
83.1095 	DATA 	Keypress: left
83.1238 	EXP 	fixation: autoDraw = False
83.1238 	EXP 	grating: autoDraw = False
83.1239 	EXP 	window1: recordFrameIntervals = False
84.1237 	EXP 	fixation: autoDraw = True
85.1097 	EXP 	grating: autoDraw = True
85.1097 	EXP 	grating: tex = 'sin'
85.1238 	EXP 	fixation: autoDraw = False
85.4237 	EXP 	grating: autoDraw = False
86.0418 	EXP 	window1: recordFrameIntervals = False
86.0425 	DATA 	Keypress: right
86.0572 	EXP 	fixation: autoDraw = False
86.0572 	EXP 	grating: autoDraw = False
86.0573 	EXP 	window1: recordFrameIntervals = False
87.0587 	EXP 	fixation: autoDraw = True
88.0434 	EXP 	grating: autoDraw = True
88.0434 	EXP 	grating: tex = 'sin'
88.0571 	EXP 	fixation: autoDraw = False
88.3573 	EXP 	grating: autoDraw = False
89.1584 	EXP 	window1: recordFrameIntervals = False
89.1590 	DATA 	Keypress: left
89.1738 	EXP 	fixation: autoDraw = False
89.1738 	EXP 	grating: autoDraw = False
89.1740 	EXP 	window1: recordFrameIntervals = False
90.1738 	EXP 	fixation: autoDraw = True
91.1592 	EXP 	grating: autoDraw = True
91.1592 	EXP 	grating: tex = 'sin'
91.1741 	EXP 	fixation: autoDraw = False
91.4739 	EXP 	grating: autoDraw = False
91.6940 	EXP 	window1: recordFrameIntervals = False
91.6951 	DATA 	Keypress: right
91.7083 	EXP 	fixation: autoDraw = False
91.7083 	EXP 	grating: autoDraw = False
91.7085 	EXP 	window1: recordFrameIntervals = False
92.7071 	EXP 	fixation: autoDraw = True
93.7072 	EXP 	fixation: autoDraw = False
93.7072 	EXP 	grating: autoDraw = True
93.7072 	EXP 	grating: tex = 'sin'
94.0073 	EXP 	grating: autoDraw = False
94.4930 	EXP 	window1: recordFrameIntervals = False
94.4941 	DATA 	Keypress: left
94.5074 	EXP 	fixation: autoDraw = False
94.5074 	EXP 	grating: autoDraw = False
94.5076 	EXP 	window1: recordFrameIntervals = False
95.5072 	EXP 	fixation: autoDraw = True
96.5081 	EXP 	grating: autoDraw = True
96.5081 	EXP 	grating: tex = 'sin'
96.5249 	EXP 	fixation: autoDraw = False
96.8092 	EXP 	grating: autoDraw = False
96.8753 	EXP 	window1: recordFrameIntervals = False
96.8761 	DATA 	Keypress: right
96.8906 	EXP 	fixation: autoDraw = False
96.8906 	EXP 	grating: autoDraw = False
96.8908 	EXP 	window1: recordFrameIntervals = False
97.8906 	EXP 	fixation: autoDraw = True
98.8758 	EXP 	grating: autoDraw = True
98.8758 	EXP 	grating: tex = 'sin'
98.8906 	EXP 	fixation: autoDraw = False
99.1908 	EXP 	grating: autoDraw = False
99.8929 	EXP 	window1: recordFrameIntervals = False
99.8940 	DATA 	Keypress: right
99.9075 	EXP 	fixation: autoDraw = False
99.9075 	EXP 	grating: autoDraw = False
99.9077 	EXP 	window1: recordFrameIntervals = False
100.9072 	EXP 	fixation: autoDraw = True
101.9074 	EXP 	fixation: autoDraw = False
101.9074 	EXP 	grating: autoDraw = True
101.9074 	EXP 	grating: tex = 'sin'
102.2075 	EXP 	grating: autoDraw = False
102.4253 	EXP 	window1: recordFrameIntervals = False
102.4260 	DATA 	Keypress: right
102.4406 	EXP 	fixation: autoDraw = False
102.4406 	EXP 	grating: autoDraw = False
